Returns,Risks,k
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000605416,0.000209263,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604974,0.000208666,5
0.000604542,0.000208095,5
0.000604542,0.000208095,5
0.000604542,0.000208095,5
0.000604542,0.000208095,5
0.000604542,0.000208095,5
0.000604542,0.000208095,5
0.000604542,0.000208095,5
0.000604542,0.000208095,5
0.000604542,0.000208095,5
